Deutsch,English
"Sie hat ihre Hand gehoben, weil sie etwas sagen wollte.",She raised her hand because she wanted to say something.
Einige Medikamente beinhalten ein bisschen Alkohol.,Some medicines contain a little alcohol.
Marie scheint sich wohl zu fühlen.,Marie seems to be feeling fine.
Ich habe dich letztes Mal falsch verstanden.,I misunderstood you last time.
"Es wird dauern, bis es komplett fertig ist.",It will take time to finish it completely.
Wir gingen am Fluss entlang.,We walked along the river.
Zähle bis dreißig.,Count to thirty.
Bald wirst du dich an das lokale Klima gewöhnen.,Soon you'll get used to the local climate.
Ich habe gerade mein Studium beendet.,I just finished my studies.
Sie stellen ein gutes Sicherheitssystem zur Verfügung.,They provide a good security system.
"Wir haben den Tisch, den wir gestern gekauft haben, zusammengebaut.",We assembled the table we bought yesterday.
Ich habe mehr Geld ausgegeben als gedacht.,I spent more money than I thought.
Das ist die älteste Frau der Welt.,This is the oldest woman in the world.
Letzten Sommer waren wir in Russland.,Last summer we were in Russia.
Hallo mein Schatz! Du siehst heute sehr schön aus!,Hello my darling! You look very beautiful today!
Die ersten Gäste treffen um acht Uhr ein.,The first guests arrive at eight o'clock.
Meine Kinder spielen den ganzen Tag lang computerspiele.,My children play computer games all day long.
Wir haben Russisch statt Englisch gelernt.,We learned Russian instead of English.
Ich hatte gestern Abend ein herausforderndes Training.,I had a challenging workout last night.
Meine Schwester studiert Jura.,My sister is studying law.
Das Museum ist auf der anderen Straßenseite.,The museum is across the street.
Wir müssen ehrlich zueinander sein.,We have to be honest with each other.
Er hat einen guten Ruf als Geschäftsmann.,He has a good reputation as a businessman.
Das ist nicht genug.,That's not enough.
Normalerweise haben Tiere Angst vor dem Feuer.,Usually animals are afraid of fire.
"Meine Katze ist nicht dick, sie ist nur rund.","My cat is not fat, it's just round."
Wir müssen nach der ersten Ampel links abbiegen.,We have to turn left after the first traffic light.
"Ich wusste nicht, was ich ihm sagen soll.",I didn't know what to say to him.
Er hat ein einzigartiges Gesicht.,He has a unique face.
"Das ist der schlechteste Film, den ich je gesehen habe.",This is the worst movie I've ever seen.
In unserer Hauptstadt gibt es viele antike Gebäude.,There are many ancient buildings in our capital.
Warum hasst du mich?,Why do you hate me?
"Ich kenne ihn, aber er kennt mich nicht.","I know him, but he doesn't know me."
"Ich benutze keine Sonnencreme, da das ungesund ist.",I don't use sunscreen because it's unhealthy.
"Kennst du jemanden, der Japanisch spricht?",Do you know anyone who speaks Japanese?
"Ich kenne niemanden, der Italienisch spricht.",I don't know anyone who speaks Italian.
"Es ist sehr schwer, die Distanz zu bestimmen.",It is very difficult to determine the distance.
Wir haben den Wettbewerb gewonnen!,We won the competition!
"Schade, dass du nicht tanzen kannst.",Too bad you can't dance.
Diese Zeitung erscheint einmal in der Woche.,This newspaper comes out once a week.
Mein Sohn ist ein Journalist.,My son is a journalist.
Es ist sein erstes Jahr an der Universität.,It's his first year at university.
Ich habe das Gymnasium vor zehn Jahren abgeschlossen.,I graduated from high school ten years ago.
Wiederhole diese Sätze mit einer hohen Stimme.,Repeat these sentences in a high voice.
Wir haben mehr Geld ausgegeben als gedacht.,We spent more money than we thought.
Hast du das Hotelzimmer schon gebucht?,Have you booked the hotel room yet?
"Ich erinnere mich nicht, wo es ist.",I don't remember where it is.
Ich bin vor Freude an die Decke gesprungen.,I jumped to the ceiling with joy.
Der erste Schritt ist der schwierigste.,The first step is the hardest.
Wo bist du in letzter Zeit gewesen?,Where have you been lately?
Ich habe nichts gehört. Könntest du es mir noch einmal erklären?,I haven't heard anything. Could you explain it to me again?
Es ist zu heiß. Ich bleibe lieber drinnen. ,It's too hot. I'd rather stay inside. 
Mein Bruder sucht einen Job.,My brother's looking for a job.
Was bedeutet Glück für dich?,What does happiness mean to you?
Das ist meiner Meinung nach ein interessantes Thema.,I think it's an interesting subject.
"Wir wussten, dass etwas passiert war.",We knew something had happened.
Sie weiß alles über alles.,She knows everything about everything.
Meine Freundin schneidet mir oft die Haare. ,My girlfriend often cuts my hair. 
"Ich dachte, du würdest schlafen.",I thought you were sleeping.
Was ist deine Stelle in der Firma?,What is your position in the company?
Ich bin der Leiter dieses Teams.,I'm the leader of this team.
"Komm früh, denn dann können wir uns unterhalten.","Come early, because then we can talk."
Ich fahre immer mit normaler Geschwindigkeit.,I always drive at normal speed.
"Ich gebe viel zu viel Geld für Sachen aus, die ich nicht brauche.",I spend way too much money on things I don't need.
Meine Interessen unterscheiden sich sehr von deinen.,My interests are very different from yours.
Zwischen den beiden gibt es einen enormen Unterschied. ,There is a huge difference between the two. 
Unsere Kinder gehen alle zur selben Schule.,Our children all go to the same school.
Möchten Sie noch etwas bestellen?,Would you like to order anything else?
Dank meiner Beförderung hat sich mein Gehalt erhöht.,"Thanks to my promotion, my salary has increased."
Er spricht Französisch mit einem amerikanischen Akzent.,He speaks French with an American accent.
Ich habe mich erkältet und nun habe ich eine laufende Nase.,I caught a cold and now I have a runny nose.
Was ist der Zweck dieses Projekts?,What is the purpose of this project?
"Das sind die besten Nachrichten, die wir im ganzen Jahr bekommen haben.",This is the best news we've gotten all year.
Du bist an der Reihe mit Geschirr spülen.,It's your turn to wash dishes.
Ich habe hundert Euro irgendwo versteckt und nun kann ich sie nicht finden.,I hid a hundred euros somewhere and now I can't find them.
Ich habe ihn während einer Spanienreise kennengelernt.,I met him during a trip to Spain.
Ich habe Kontakt zu vielen Menschen aus meiner Schule.,I have contact with many people from my school.
Er wurde Neunzehnhundertneunzig geboren.,He was born nineteen ninety.
Er hat mir nicht die Wahrheit gesagt.,He did not tell me the truth.
Ich zahle die Miete immer zum vereinbarten Datum.,I always pay the rent on the agreed date.
Gestern Nacht konnte ich nicht schlafen.,Last night I couldn't sleep.
"Ich bin total begeistert davon, im Oktober nach Frankfreich zu fahren.",I am totally excited about going to France in October.
"Ich möchte einen kurzen Halt machen, bevor wir gehen.",I want to make a quick stop before we go.
Schau dir diese schöne Aussicht an!,Look at this beautiful view!
Wir müssen uns um die Erde kümmern.,We have to take care of the earth.
Es ist nicht erlaubt.,It's not allowed.
Wir müssen die Straße überqueren.,We have to cross the road.
Wo kann ich meine Dollar in Euro wechseln?,Where can I change my dollars into euros?
"Ich hoffe, dass ich eines Tages nach Deutschland zurückkehren kann.",I hope that one day I can return to Germany.
Er wird ein guter Vater sein.,He will be a good father.
Immer mehr Menschen arbeiten von zu Hause aus.,More and more people are working from home.
Das Theaterstück war nicht gut gespielt.,The play was not well acted.
"Ich dachte, dass es heute warm sein wird.",I thought it would be warm today.
Ich habe einen flexiblen Zeitplan.,I have a flexible schedule.
Wir müssen das berücksichtigen.,We have to take that into consideration.
Der Präsident mag süße flauschige Hunde.,The president likes cute fluffy dogs.
Ich brauche ein neues Paar Schuhe.,I need a new pair of shoes.
Das Budget unserer Firma ist im Vergleich zu deiner Firma sehr klein.,Our company's budget is very small compared to yours.
"Am anfang kann es schwer sein, aber du schaffst es.","It can be hard at first, but you'll make it."
Wir werden morgen eine große Entscheidung treffen.,We'll make a big decision tomorrow.
Schlaf ist eine wunderbare Medizin.,Sleep is a wonderful medicine.
Sie nimmt an einem Kochkurs teil.,She is taking a cooking class.
"Ein Arzt hat mir gesagt, Eier zu essen wäre ungesund.",A doctor told me that eating eggs is unhealthy.
Ich werde ihn morgen treffen.,I'm going to see him tomorrow.
Kennst du schon deine Ergebnisse?,Do you know your results yet?
"Nein, aber ich hoffe, dass alles gut geht.","No, but I hope everything goes well."
Ich bin der Besitzer dieser Firma.,I'm the owner of this company.
Zeit zum Abendessen! Das Essen steht auf dem Tisch.,Time for dinner! Dinner is on the table.
Wir sind auf eine Hochzeit eingeladen.,We are invited to a wedding.
Sie hat einen neuen Kunden gefunden.,She found a new client.
Wann muss ich das Auto zurückgeben?,When do I have to return the car?
Sind wir auf dem richtigen Weg?,Are we on the right track?
Wir haben viel gemeinsam.,We have a lot in common.
Er hat das Rennen verloren.,He lost the race.
Das Gesicht eines Menschen sagt viel über seinen Charakter aus.,A person's face says a lot about their character.
Ich werde heute Abend später zurückkommen.,I'll be back later tonight.
Diese Tradition stammt aus China.,This tradition comes from China.
Wir lebten anderthalb Jahre in der Schweiz.,We lived in Switzerland for a year and a half.
Er ist trotz der Missbilligung seiner Eltern Musiker geworden.,He became a musician despite his parents' disapproval.
Wir sehen uns in zwei Wochen wieder.,We will see each other again in two weeks.
Ich bin nicht eifersüchtig.,I am not jealous.
Er sieht Sachen anders als ich.,He sees things differently than I do.
Wann wirst du mich besuchen?,When are you going to visit me?
Wir müssen an der nächsten Haltestelle aussteigen.,We have to get off at the next stop.
Diese orangene Unterwäsche sieht hässlich aus.,This orange underwear looks ugly.
Ich bin in der falschen Station ausgestiegen.,I got off at the wrong station.
Ich komme in einer Minute runter.,I'll be down in a minute.
"Mir ist übel. Ich glaube es war etwas, das ich gegessen habe.",I feel nauseous. I think it was something I ate.
Lies so viel wie möglich.,Read as much as you can.
Ich werde am siebten Oktober zurück sein.,I'll be back on the seventh of October.
"Ich bin mir sicher, dass es ihnen gefallen wird.",I'm sure they will like it.
"Er hat das meeting verlassen, um den Zug zu erreichen.",He left the meeting to catch the train.
"Es wäre sehr cool, wenn ich zehn Sprachen sprechen könnte.",It would be very cool if I could speak ten languages.
Komm schnell! Auf unserem Dach ist eine Katze.,Come quickly! There is a cat on our roof.
Die Schweiz ist nicht Schweden.,Switzerland is not Sweden.
Das ist eine interessante Tatsache.,That's an interesting fact.
Diese Webseite ist sehr einfach zu benutzen.,This website is very easy to use.
Dieser Politiker ist im Gefängnis.,This politician is in prison.
"Ich musste zu Hause bleiben, da mein Kind krank war.",I had to stay at home because my child was sick.
"Ich verspreche dir, es lohnt sich.",I promise you it will be worth it.
Ich muss mich umziehen bevor ich gehe.,I have to change my clothes before I leave.
Die Architektur in diesem Stadtteil ist erstaunlich.,The architecture in this part of town is amazing.
Dieses Lied treibt mich in den Wahnsinn.,This song is driving me crazy.
Ich lese während ich koche.,I read while I cook.
Du hast mir deine Nummer noch nicht gegeben.,You haven't given me your number yet.
"Ich dachte, dass dieser Schriftsteller tot wäre.",I thought that writer was dead.
"Ich bin glücklich, wenn ich mit dir zusammen bin.",I'm happy when I'm with you.
Du solltest deine Eltern immer mit Respekt behandeln.,You should always treat your parents with respect.
